EventType,Timestamp,DeviceID,User  ID,Details,Value,predicted_has_error,datetime,Date,fl_work,work_time_per
ПроверкаСостоянияКлавиатуры,2023-10-01 10:07:38,Банкомат54,Пользователь93,Проверка состояния клавиатуры в Банкомат54,Клавиатура не работает,True,2023-10-01 10:07:38,2023-10-01,0,62
ПроверкаСостоянияКарт,2023-10-01 10:15:18,Банкомат43,Пользователь71,Проверка состояния карт в Банкомат43,Все карты в порядке,False,2023-10-01 10:15:18,2023-10-01,1,73
ОшибкаОбновления,2023-10-01 10:18:05,Банкомат75,Пользователь100,Ошибка обновления в Банкомат75,Ошибка сети,True,2023-10-01 10:18:05,2023-10-01,1,95
ПроверкаЭнергоснабжения,2023-10-01 10:22:26,Банкомат13,Пользователь43,Проверка состояния энергоснабжения в Банкомат13,Энергоснабжение в порядке,False,2023-10-01 10:22:26,2023-10-01,0,91
ОшибкаПечати,2023-10-01 10:26:56,Банкомат19,Пользователь92,Ошибка печати в Банкомат19,Нет бумаги,True,2023-10-01 10:26:56,2023-10-01,1,70
ОбновлениеПрограммногоОбеспечения,2023-10-01 10:27:52,Банкомат96,Пользователь91,Обновление ПО в Банкомат96,Не удалось,True,2023-10-01 10:27:52,2023-10-01,1,94
ПроверкаСостоянияКарт,2023-10-01 10:28:45,Банкомат1,Пользователь96,Проверка состояния карт в Банкомат1,Все карты в порядке,False,2023-10-01 10:28:45,2023-10-01,1,68
ТестированиеУстройства,2023-10-01 10:33:56,Банкомат72,Пользователь90,Тестирование устройства Банкомат72 завершено,Успешно,False,2023-10-01 10:33:56,2023-10-01,1,84
ПроверкаСостоянияСвязи,2023-10-01 10:41:37,Банкомат6,Пользователь43,Проверка состояния связи в Банкомат6,Хорошее,False,2023-10-01 10:41:37,2023-10-01,1,51
СостояниеУстройстваИзменено,2023-10-01 10:44:53,Банкомат49,Пользователь99,Состояние устройства Банкомат49 изменилось,Закрыто,False,2023-10-01 10:44:53,2023-10-01,1,85
ПроверкаКассеты,2023-10-01 10:47:25,Банкомат56,Пользователь83,Проверка состояния кассеты в Банкомат56,Нуждается в замене,False,2023-10-01 10:47:25,2023-10-01,0,83
ОбновлениеПрограммногоОбеспечения,2023-10-01 10:48:01,Банкомат14,Пользователь86,Обновление ПО в Банкомат14,Не удалось,True,2023-10-01 10:48:01,2023-10-01,0,54
