EventType;Timestamp;DeviceID;User  ID;Details;Value;fl_work;work_time_per
ВходПользователя;01.10.2023 10:04;Банкомат48;Пользователь28;Пользователь Пользователь28 вошел в систему в Банкомат48;;1;86
ЗажеваннаяКупюра;01.10.2023 10:05;Банкомат76;Пользователь33;Купюра зажевана в Банкомат76;1000;1;97
Предупреждение;01.10.2023 10:05;Банкомат24;Пользователь80;Предупреждение в Банкомат24;Низкий уровень наличных;1;98
ПроверкаСостоянияКлавиатуры;01.10.2023 10:07;Банкомат54;Пользователь93;Проверка состояния клавиатуры в Банкомат54;Клавиатура не работает;1;70
ЗагрузкаПроцессораВысокая;01.10.2023 10:11;Банкомат9;Пользователь37;Высокая загрузка процессора в Банкомат9;87;1;84
ПроверкаСостоянияКарт;01.10.2023 10:15;Банкомат43;Пользователь71;Проверка состояния карт в Банкомат43;Все карты в порядке;0;85
ОшибкаОбновления;01.10.2023 10:18;Банкомат75;Пользователь100;Ошибка обновления в Банкомат75;Ошибка сети;0;73
ПроверкаЭнергоснабжения;01.10.2023 10:22;Банкомат13;Пользователь43;Проверка состояния энергоснабжения в Банкомат13;Энергоснабжение в порядке;0;99
ОшибкаПечати;01.10.2023 10:26;Банкомат19;Пользователь92;Ошибка печати в Банкомат19;Нет бумаги;1;55
ОбновлениеПрограммногоОбеспечения;01.10.2023 10:27;Банкомат96;Пользователь91;Обновление ПО в Банкомат96;Не удалось;1;97
ПроверкаСостоянияКарт;01.10.2023 10:28;Банкомат1;Пользователь96;Проверка состояния карт в Банкомат1;Все карты в порядке;0;100
ОбработкаЗапроса;01.10.2023 10:33;Банкомат12;Пользователь17;Обработка запроса пользователя Пользователь17 в Банкомат12;;1;88
ТестированиеУстройства;01.10.2023 10:33;Банкомат72;Пользователь90;Тестирование устройства Банкомат72 завершено;Успешно;1;66
ОжиданиеПользователя;01.10.2023 10:35;Банкомат32;Пользователь73;Ожидание действия от пользователя в Банкомат32;;1;74
ПроверкаБаланс;01.10.2023 10:35;Банкомат57;Пользователь48;Проверка баланса пользователем Пользователь48 в Банкомат57;236;1;62
ОбработкаЗапроса;01.10.2023 10:39;Банкомат35;Пользователь69;Обработка запроса пользователя Пользователь69 в Банкомат35;;0;94
ПроверкаСостоянияСвязи;01.10.2023 10:41;Банкомат6;Пользователь43;Проверка состояния связи в Банкомат6;Хорошее;1;92
СостояниеУстройстваИзменено;01.10.2023 10:44;Банкомат49;Пользователь99;Состояние устройства Банкомат49 изменилось;Закрыто;0;76
ПроверкаКассеты;01.10.2023 10:47;Банкомат56;Пользователь83;Проверка состояния кассеты в Банкомат56;Нуждается в замене;1;86
ОбновлениеПрограммногоОбеспечения;01.10.2023 10:48;Банкомат14;Пользователь86;Обновление ПО в Банкомат14;Не удалось;1;95
ЗагрузкаПроцессораВысокая;01.10.2023 10:51;Банкомат50;Пользователь59;Высокая загрузка процессора в Банкомат50;85;0;97
СостояниеУстройстваИзменено;01.10.2023 10:54;Банкомат4;Пользователь47;Состояние устройства Банкомат4 изменилось;Закрыто;1;65
ВнесениеНаличных;01.10.2023 10:54;Банкомат44;Пользователь17;Пользователь Пользователь17 внес 505 рублей в Банкомат44;505;1;99
ОбновлениеБезопасности;01.10.2023 10:55;Банкомат76;Пользователь75;Обновление систем безопасности в Банкомат76;Успешно;1;64
